Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
"Aug. 24, 2014","Aug. 24, 2014",Run / Jog,613,6.0,2520,7.0,0,8.57143,0,,,,,http://www.mapmyrun.com/workout/704019011
"Aug. 24, 2014","Aug. 24, 2014",Run / Jog,1241,12.0,5160,7.16667,0,8.37209,0,,,,,http://www.mapmyrun.com/workout/704019001
"Aug. 24, 2014","Aug. 23, 2014",Run / Jog,587,5.2,2100,6.73,0,8.91,0,,0,,,http://www.mapmyrun.com/workout/704027657
"Aug. 24, 2014","Aug. 23, 2014",Run / Jog,674,6.0,2580,7.17,0,8.37,0,,0,,,http://www.mapmyrun.com/workout/704026503
"Aug. 22, 2014","Aug. 22, 2014",Run / Jog,495,4.7,2100,7.44681,0,8.05714,0,,,,,http://www.mapmyrun.com/workout/701471631
"Aug. 22, 2014","Aug. 22, 2014",Run / Jog,467,4.5,2220,8.22222,0,7.2973,0,,,,,http://www.mapmyrun.com/workout/701471375
"Aug. 24, 2014","Aug. 21, 2014",Run / Jog,594,5.2,2400,7.69,0,7.8,0,,0,,,http://www.mapmyrun.com/workout/704025499
"Aug. 21, 2014","Aug. 21, 2014",Run / Jog,1015,9.0,4440,8.22,0,7.3,0,,0,,,http://www.mapmyrun.com/workout/699866933
"Aug. 21, 2014","Aug. 20, 2014",Run / Jog,555,5.0,2100,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/699865463
"Aug. 21, 2014","Aug. 20, 2014",Run / Jog,589,5.2,2520,8.08,0,7.43,0,,0,,,http://www.mapmyrun.com/workout/699863637
"Aug. 21, 2014","Aug. 19, 2014",Run / Jog,689,6.0,2700,7.5,0,8.0,0,,0,,,http://www.mapmyrun.com/workout/699862971
"Aug. 19, 2014","Aug. 19, 2014",Run / Jog,581,5.2,2213,7.09,0,8.46,0,,0,,,http://www.mapmyrun.com/workout/696962415
"Aug. 19, 2014","Aug. 18, 2014",Run / Jog,582,5.2,2220,7.12,0,8.43,0,,0,,,http://www.mapmyrun.com/workout/696960819
"Aug. 19, 2014","Aug. 18, 2014",Run / Jog,555,5.2,2460,7.88,0,7.61,0,,0,,,http://www.mapmyrun.com/workout/696959069
"Aug. 19, 2014","Aug. 17, 2014",Run / Jog,318,5.0,2100,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696958151
"Aug. 19, 2014","Aug. 15, 2014",Run / Jog,499,4.5,1891,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696957319
"Aug. 19, 2014","Aug. 15, 2014",Run / Jog,318,5.0,2100,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696955825
"Aug. 19, 2014","Aug. 14, 2014",Run / Jog,961,8.5,3420,6.71,0,8.95,0,,0,,,http://www.mapmyrun.com/workout/696954095
"Aug. 19, 2014","Aug. 14, 2014",Run / Jog,284,2.5,1200,8.0,0,7.5,0,,0,,,http://www.mapmyrun.com/workout/696952981
"Aug. 19, 2014","Aug. 13, 2014",Run / Jog,1058,9.5,4020,7.05,0,8.51,0,,0,,,http://www.mapmyrun.com/workout/696952083
"Aug. 19, 2014","Aug. 13, 2014",Run / Jog,563,5.0,2160,7.2,0,8.33,0,,0,,,http://www.mapmyrun.com/workout/696950957
"Aug. 19, 2014","Aug. 12, 2014",Run / Jog,513,4.5,2100,7.78,0,7.71,0,,0,,,http://www.mapmyrun.com/workout/696950187
"Aug. 19, 2014","Aug. 11, 2014",Run / Jog,777,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696949117
"Aug. 19, 2014","Aug. 11, 2014",Run / Jog,777,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696948427
"Aug. 19, 2014","Aug. 10, 2014",Run / Jog,753,12.0,4980,6.92,0,8.67,0,,0,,,http://www.mapmyrun.com/workout/696945795
"Aug. 10, 2014","Aug. 10, 2014",Run / Jog,514,5.0,2580,8.6,0,6.97674,0,,,,,http://www.mapmyrun.com/workout/684299775
"Aug. 19, 2014","Aug. 9, 2014",Run / Jog,888,8.0,3360,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696944951
"Aug. 19, 2014","Aug. 8, 2014",Run / Jog,999,9.0,3780,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696943487
"Aug. 19, 2014","Aug. 8, 2014",Run / Jog,444,4.0,1680,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696942727
"Aug. 19, 2014","Aug. 7, 2014",Run / Jog,919,8.0,3600,7.5,0,8.0,0,,0,,,http://www.mapmyrun.com/workout/696941957
"Aug. 19, 2014","Aug. 7, 2014",Run / Jog,272,4.0,1800,7.5,0,8.0,0,,0,,,http://www.mapmyrun.com/workout/696939341
"Aug. 19, 2014","Aug. 6, 2014",Run / Jog,919,8.0,3600,7.5,0,8.0,0,,0,,,http://www.mapmyrun.com/workout/696938565
"Aug. 19, 2014","Aug. 6, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/696937687
"Aug. 19, 2014","Aug. 5, 2014",Run / Jog,1344,12.0,4920,6.83,0,8.78,0,,0,,,http://www.mapmyrun.com/workout/696936697
"Aug. 9, 2014","Aug. 4, 2014",Run / Jog,1081,9.7,4020,6.91,0,8.69,0,,0,,,http://www.mapmyrun.com/workout/683399731
"Aug. 3, 2014","Aug. 3, 2014",Run / Jog,1181,10.3,4620,7.48,0,8.03,0,,0,,,http://www.mapmyrun.com/workout/674365895
"Aug. 3, 2014","Aug. 2, 2014",Run / Jog,1061,10.2,4441,7.25654,0,8.26841,0,,,,,http://www.mapmyrun.com/workout/674044673
"Aug. 1, 2014","Aug. 1, 2014",Run / Jog,800,7.0,3240,7.71,0,7.78,0,,0,,,http://www.mapmyrun.com/workout/672321931
"Aug. 1, 2014","Aug. 1, 2014",Run / Jog,681,6.0,2640,7.33,0,8.18,0,,0,,,http://www.mapmyrun.com/workout/672321519
"July 31, 2014","July 31, 2014",Run / Jog,596,5.0,1717,5.72333,0,10.4834,0,0,0,,,http://www.mapmyrun.com/workout/670944705
"July 31, 2014","July 31, 2014",Run / Jog,1116,9.3,3949,7.07706,0,8.4781,0,0,0,,,http://www.mapmyrun.com/workout/670434013
